occurrence_no,identified_name,identified_rank,identified_no,accepted_name,accepted_attr,accepted_rank,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
1332073,Carcharodontosaurinae indet.,subfamily,161118,Carcharodontosaurinae,,subfamily,Late Albian,Early Cenomanian,105.3,93.5,59431,-110.418053,31.81139
1332074,Rebbachisauridae indet.,unranked clade,57365,Rebbachisauridae,,unranked clade,Early Cenomanian,,99.6,93.5,59432,-68.75,-39.216667
1332181,Kritosaurini indet.,tribe,267712,Kritosaurini,,tribe,Middle Campanian,,83.5,70.6,59434,-109.410004,46.459999
1332870,Ceratopsidae indet.,family,38851,Ceratopsidae,,family,Campanian,,83.6,72.1,82689,-104.416664,29.566668
1333016,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,59136,99.833054,43.474724
1333017,Therizinosaurus cheloniformis,species,66673,Therizinosaurus cheloniformis,,species,Maastrichtian,,72.1,66,59136,99.833054,43.474724
1333018,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Maastrichtian,,72.1,66,59136,99.833054,43.474724
1333019,Saurolophus angustirostris,species,64295,Saurolophus angustirostris,,species,Maastrichtian,,72.1,66,59136,99.833054,43.474724
1333020,Tarchia n. sp. teresae,species,378705,Tarchia teresae,,species,Maastrichtian,,72.1,66,67319,99.833054,43.474724
1333025,Carnosauria indet.,infraorder,53943,Carnosauria,,infraorder,Middle Campanian,Late Campanian,83.5,70.6,59136,99.599998,43.299999
1333030,Velociraptor sp.,genus,38564,Velociraptor,,genus,Middle Campanian,Late Campanian,83.5,70.6,59136,99.599998,43.299999
1333275,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Early Campanian,Middle Campanian,83.5,70.6,59512,-111.900002,37.599998
1333276,Tyrannosauridae indet.,family,38606,Tyrannosauridae,,family,Early Campanian,Middle Campanian,83.5,70.6,59512,-111.900002,37.599998
1333277,Theropoda indet.,unranked clade,91970,Theropoda,,unranked clade,Early Campanian,Middle Campanian,83.5,70.6,59512,-111.900002,37.599998
1333289,Protoceratopsidae indet.,family,38845,Protoceratopsidae,,family,Middle Campanian,Late Campanian,83.5,70.6,27284,109.116699,43.516701
1333293,n. gen. Avimimus n. sp. portentosus,species,55489,Avimimus portentosus,,species,Late Campanian,,83.5,70.6,59518,102.166664,42.083332
1333305,n. gen. Altirhinus n. sp. kurzanovi,species,58903,Altirhinus kurzanovi,,species,Middle Albian,Late Albian,109,99.6,19316,108.398613,45.845833
1333306,Ankylosauria indet.,unranked clade,38816,Ankylosauria,,unranked clade,Middle Albian,Late Albian,109,99.6,33967,108.398613,45.845833
1333307,Psittacosaurus sp.,genus,38844,Psittacosaurus,,genus,Middle Albian,Late Albian,109,99.6,33967,108.398613,45.845833
1333488,n. gen. Subtiliolithus n. sp. microtuberculatus,species,86627,Subtiliolithus microtuberculatus,,species,Maastrichtian,,72.1,66,27284,99.926941,43.720554
1333490,Gobioolithus maior,species,388119,Gobioolithus maior,,species,Middle Campanian,Late Campanian,83.5,70.6,69240,101.331947,43.938889
1333494,Pinacosaurus grangeri,species,52911,Pinacosaurus grangeri,,species,Middle Campanian,Late Campanian,83.5,70.6,26796,105.250275,42.50861
1333495,Spheroolithidae indet.,family,67194,Spheroolithidae,,family,Maastrichtian,,72.1,66,14217,100.366669,43.479168
1333496,Elongatoolithus n. sp. excellens,species,84319,Elongatoolithus excellens,,species,Maastrichtian,,72.1,66,44374,100.366669,43.479168
1333497,Elongatoolithus frustrabilis,species,84317,Elongatoolithus frustrabilis,,species,Late Campanian,,83.5,70.6,44374,103.692329,44.156948
1333499,Protoceratopsidovum fluxuosum,species,84315,Protoceratopsidovum fluxuosum,,species,Late Campanian,,83.5,70.6,44374,103.692329,44.156948
1333500,n. gen. Protoceratopsidovum n. sp. sincerum,species,84313,Protoceratopsidovum sincerum,,species,Late Campanian,,83.5,70.6,44374,103.692329,44.156948
1333501,Spheroolithidae indet.,family,67194,Spheroolithidae,,family,Late Campanian,,83.5,70.6,14217,103.692329,44.156948
1333502,Protoceratopsidovum n. sp. fluxuosum,species,84315,Protoceratopsidovum fluxuosum,,species,Middle Campanian,Late Campanian,83.5,70.6,44374,99.599998,43.299999
1333503,Elongatoolithidae indet.,family,65566,Elongatoolithidae,,family,Maastrichtian,,72.1,66,14217,99.833054,43.474724
1333504,n. gen. Gobioolithus n. sp. minor,species,388118,Gobioolithus minor,,species,Middle Campanian,Late Campanian,83.5,70.6,69240,99.599998,43.299999
1333505,Elongatoolithus sp.,genus,67185,Elongatoolithus,,genus,Middle Campanian,Late Campanian,83.5,70.6,14221,108.398613,45.845833
1333946,Titanosaurinae indet.,subfamily,53965,Titanosaurinae,,subfamily,Santonian,Maastrichtian,86.3,66,59606,-70.880096,-30.383699
1333947,Titanosauridae indet.,family,38680,Titanosauridae,,family,Santonian,Maastrichtian,86.3,66,59606,-70.880096,-30.383699
1334114,Titanosauridae indet.,family,38680,Titanosauridae,,family,Maastrichtian,,72.1,66,13712,-58.098999,-32.658001
1335005,Ceratopsia indet.,unranked clade,38842,Ceratopsia,,unranked clade,Late Maastrichtian,,70.6,66,55474,-104.192398,45.482071
1335006,Triceratops sp.,genus,38862,Triceratops,,genus,Late Maastrichtian,,70.6,66,55474,-104.192398,45.482071
1335007,Triceratops horridus,species,63759,Triceratops horridus,,species,Late Maastrichtian,,70.6,66,12314,-103.966599,45.393398
1335008,Trachodon sp.,genus,52925,Hadrosauridae,,family,Late Maastrichtian,,70.6,66,55474,-103.8424,45.461102
1335009,Triceratops sp.,genus,38862,Triceratops,,genus,Late Maastrichtian,,70.6,66,55474,-103.8424,45.461102
1335010,Trachodon sp.,genus,52925,Hadrosauridae,,family,Late Maastrichtian,,70.6,66,55474,-104.607849,43.255959
1335138,Thescelosaurus sp.,genus,38742,Thescelosaurus,,genus,Lancian,,70.6,66,14538,-104.559998,47.790001
1335139,Triceratops sp.,genus,38862,Triceratops,,genus,Lancian,,70.6,66,14538,-104.559998,47.790001
1336814,"""Dyoplosaurus"" giganteus",species,52909,Ankylosauridae,,family,Maastrichtian,,72.1,66,9909,100.452782,43.586666
1337487,n. gen. Nemegtosaurus n. sp. mongoliensis,species,54841,Nemegtosaurus mongoliensis,,species,Maastrichtian,,72.1,66,9903,101.047775,43.503334
1337488,Gallimimus bullatus,species,57265,Gallimimus bullatus,,species,Maastrichtian,,72.1,66,9906,101.047775,43.502499
1337489,n. gen. Homalocephale n. sp. calathocercos,species,52836,Homalocephale calathocercos,,species,Maastrichtian,,72.1,66,9908,101.044998,43.50528
1337490,Gallimimus bullatus,species,57265,Gallimimus bullatus,,species,Maastrichtian,,72.1,66,9906,101.04583,43.503056
1337491,Gallimimus bullatus,species,57265,Gallimimus bullatus,,species,Maastrichtian,,72.1,66,9906,101.029846,43.519463
1337493,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Cenomanian,Santonian,100.5,83.6,9901,102.791664,44.183334
1337495,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Cenomanian,Santonian,100.5,83.6,9901,102.791664,44.183334
1337632,Abelisauroidea indet. 1 informal,species,54528,Abelisauroidea,,superfamily,Middle Cenomanian,Early Turonian,99.6,89.3,59904,-68.617775,-39.397778
1337633,Abelisauroidea indet. 2 informal,species,54528,Abelisauroidea,,superfamily,Middle Cenomanian,Early Turonian,99.6,89.3,59904,-68.617775,-39.397778
1337634,n. gen. Taurovenator n. sp. violantei,species,345411,Taurovenator violantei,,species,Middle Cenomanian,Early Turonian,99.6,89.3,59904,-68.617775,-39.397778
1337635,Carcharodontosauridae indet.,family,65363,Carcharodontosauridae,,family,Middle Cenomanian,Early Turonian,99.6,89.3,59904,-68.617775,-39.397778
1337636,Coelurosauria indet.,unranked clade,91971,Coelurosauria,,unranked clade,Middle Cenomanian,Early Turonian,99.6,89.3,59904,-68.617775,-39.397778
1337637,n. gen. Aoniraptor n. sp. libertatem,species,345413,Aoniraptor libertatem,,species,Middle Cenomanian,Early Turonian,99.6,89.3,59904,-68.617775,-39.397778
1337639,Sauropoda indet.,unranked clade,95571,Sauropoda,,unranked clade,Late Albian,Early Cenomanian,105.3,93.5,59431,-110.418053,31.81139
1338362,Gallimimus bullatus,species,57265,Gallimimus bullatus,,species,Maastrichtian,,72.1,66,9906,101.045555,43.515556
1338363,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,59835,101.045555,43.516388
1338364,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,9900,101.052498,43.504723
1338365,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,59835,101.053612,43.502499
1338366,Gallimimus bullatus,species,57265,Gallimimus bullatus,,species,Maastrichtian,,72.1,66,9906,101.051109,43.499443
1338367,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,10453,101.029724,43.52639
1338409,n. gen. Elmisaurus n. sp. rarus,species,54560,Elmisaurus rarus,,species,Maastrichtian,,72.1,66,10141,101.04361,43.528057
1338410,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,10453,101.041389,43.529167
1338411,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,10453,101.032219,43.528057
1338412,Gallimimus bullatus,species,57265,Gallimimus bullatus,,species,Maastrichtian,,72.1,66,9906,101.04583,43.513058
1338413,Saurolophus angustirostris,species,64295,Saurolophus angustirostris,,species,Maastrichtian,,72.1,66,10453,101.04583,43.525276
